14-Oct-2016 16:19:09:766, INFO, JPPF client starting with sslEnabled = false
14-Oct-2016 16:19:09:770, INFO, Running version compiled @ MTC Oct 7, 2016
14-Oct-2016 16:19:09:770, INFO, start of runPopulationGenerator: parsing xml file
14-Oct-2016 16:19:09:836, INFO, connection [driver1] created
14-Oct-2016 16:19:09:911, INFO, running 1 processing thread
14-Oct-2016 16:19:09:912, INFO, Using default thread manager
14-Oct-2016 16:19:10:126, INFO, [client: driver1 - ClassServer] Attempting connection to the class server at localhost:11111
14-Oct-2016 16:19:10:600, INFO, creating the controls arrays.
14-Oct-2016 16:19:10:828, INFO, balancing household weights over initial PUMA controls ...
14-Oct-2016 16:19:10:828, INFO, getting incidence table data for pums ...
14-Oct-2016 16:19:12:073, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:19:13:044, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:19:13:917, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:19:14:890, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:19:15:799, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:19:18:172, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:19:20:303, INFO, combining final incidence tables.
14-Oct-2016 16:19:20:304, INFO, balancing incidence table 0 has 2404 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:19:20:308, INFO, balancing incidence table 1 has 2404 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:19:20:309, INFO, balancing incidence table 2 has 2404 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:19:20:310, INFO, balancing incidence table 3 has 2404 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:19:20:310, INFO, balancing incidence table 4 has 2404 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:19:20:312, INFO, balancing incidence table 5 has 2404 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:19:20:312, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:19:21:476, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:19:22:399, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:19:23:297, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:19:24:246, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:19:25:198, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:19:27:413, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:19:29:513, INFO, combining final incidence tables.
14-Oct-2016 16:19:29:513, INFO, balancing incidence table 0 has 1805 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:19:29:517, INFO, balancing incidence table 1 has 1805 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:19:29:518, INFO, balancing incidence table 2 has 1805 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:19:29:519, INFO, balancing incidence table 3 has 1805 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:19:29:519, INFO, balancing incidence table 4 has 1805 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:19:29:520, INFO, balancing incidence table 5 has 1805 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:19:29:521, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:19:30:699, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:19:31:560, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:19:32:519, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:19:33:474, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:19:34:395, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:19:36:705, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:19:38:758, INFO, combining final incidence tables.
14-Oct-2016 16:19:38:759, INFO, balancing incidence table 0 has 1606 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:19:38:762, INFO, balancing incidence table 1 has 1606 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:19:38:763, INFO, balancing incidence table 2 has 1606 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:19:38:763, INFO, balancing incidence table 3 has 1606 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:19:38:764, INFO, balancing incidence table 4 has 1606 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:19:38:764, INFO, balancing incidence table 5 has 1606 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:19:38:765, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:19:39:966, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:19:40:937, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
