20-Feb-2015 11:38:49:674, INFO, JPPF client starting with sslEnabled = false
20-Feb-2015 11:38:49:683, INFO, start of runPopulationGenerator: parsing xml file
20-Feb-2015 11:38:49:769, INFO, connection [driver1] created
20-Feb-2015 11:38:50:118, INFO, running 1 processing thread
20-Feb-2015 11:38:50:119, INFO, Using default thread manager
20-Feb-2015 11:38:50:187, INFO, [client: driver1 - ClassServer] Attempting connection to the class server at localhost:11111
20-Feb-2015 11:38:51:216, INFO, creating the controls arrays.
20-Feb-2015 11:38:51:681, INFO, balancing household weights over initial PUMA controls ...
20-Feb-2015 11:38:51:682, INFO, getting incidence table data for pums ...
20-Feb-2015 11:38:51:893, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:38:52:123, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:38:52:355, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:38:52:587, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:38:52:803, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:38:53:230, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:38:53:577, INFO, combining final incidence tables.
20-Feb-2015 11:38:53:580, INFO, balancing incidence table 0 has 2404 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:38:53:582, INFO, balancing incidence table 1 has 2404 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:38:53:585, INFO, balancing incidence table 2 has 2404 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:38:53:588, INFO, balancing incidence table 3 has 2404 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:38:53:590, INFO, balancing incidence table 4 has 2404 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:38:53:592, INFO, balancing incidence table 5 has 2404 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:38:53:594, INFO, balancing incidence table total households control index = 0.
20-Feb-2015 11:38:53:726, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:38:53:927, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:38:54:131, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:38:54:346, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:38:54:546, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:38:54:875, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:38:55:222, INFO, combining final incidence tables.
20-Feb-2015 11:38:55:224, INFO, balancing incidence table 0 has 1805 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:38:55:227, INFO, balancing incidence table 1 has 1805 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:38:55:229, INFO, balancing incidence table 2 has 1805 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
