MAZ,2010 HH
10001,62
10002,64
10003,72
10004,68
10005,71
10006,88
10007,187
10009,34
10012,297
10017,0
10018,0
10021,6
10022,32
10023,8
10024,51
10025,30
10030,188
10038,603
10039,76
10044,46
10045,53
10047,54
10048,66
10049,64
10052,27
10053,22
10054,58
10055,10
10056,87
10060,0
10062,44
10063,24
10064,0
10065,22
10071,42
10072,31
10073,83
10074,104
10075,98
10076,7
10077,76
10078,0
10079,263
10084,109
10086,0
10087,0
10094,97
10098,95
10099,68
10101,60
10102,93
10104,38
10107,70
10109,88
10110,282
10111,137
10112,121
10114,79
10116,90
10117,361
10119,77
10122,99
10123,0
10124,21
10125,47
10127,109
10128,321
10130,0
10133,63
10137,221
10138,143
10140,153
10141,104
10142,153
10143,150
10144,12
10147,410
10150,50
10151,0
10153,0
10157,125
10159,0
10160,143
10161,140
10162,172
10163,89
10164,60
10165,123
10167,157
10168,89
10169,63
10170,0
10172,184
10173,110
10179,155
10180,56
10181,55
10184,29
10185,114
10187,75
10190,63
10192,34
10193,46
10194,38
10195,38
10197,52
10198,87
10200,90
10201,32
10202,77
10203,20
10204,40
10206,48
10207,54
10208,44
10209,56
10210,175
10211,94
10212,96
10213,59
10214,83
10215,196
10218,71
10219,514
10222,0
10223,71
10224,53
10225,60
10226,57
10227,48
10228,59
10229,49
10230,66
10231,54
10232,25
10233,14
10234,72
10235,33
10236,39
10239,16
10241,35
10242,45
10247,56
10248,70
10249,33
10250,95
10251,86
10252,60
10253,57
10254,142
10255,98
10256,121
10257,77
10258,65
10259,0
10260,0
10261,0
10262,269
10263,0
10265,210
10266,109
10268,215
10269,69
10270,101
10271,76
10272,59
10273,50
10274,94
10275,6
10276,0
10277,20
10278,114
10279,215
10280,29
10281,91
10282,2
10283,33
10284,66
10287,44
10288,68
10289,64
10290,59
10292,92
10295,35
10300,106
10302,126
10308,304
10309,121
10310,54
10312,85
10313,76
10315,29
10316,80
10317,84
10321,82
10322,45
10323,53
10324,53
10325,44
10326,69
10327,71
10328,55
10329,56
10330,54
10331,65
10333,76
10334,119
10335,116
10336,51
10337,52
10338,65
10340,61
10341,60
10344,82
10347,18
10349,43
10350,21
10351,27
10352,64
10353,160
10355,121
10358,95
10359,73
10368,64
10369,0
10370,0
10372,104
10373,159
10375,103
10376,143
10377,0
10378,144
10380,474
10384,66
10385,125
10386,86
10388,586
10390,295
10392,136
10394,69
10395,0
10398,420
10399,27
10400,67
10401,170
10402,18
10403,79
10405,63
10411,53
10413,121
10414,120
10416,111
10417,116
10418,128
10419,113
10420,112
10421,52
10424,53
10425,82
10427,27
10428,25
10429,49
10430,46
10431,29
10432,53
10433,44
10434,32
10435,41
10436,50
10437,55
10438,126
10440,37
10441,75
10443,57
10444,42
10445,273
10446,91
10447,0
10450,33
10452,29
10454,533
10455,13
10456,601
10457,181
10458,20
10460,30
10462,220
10463,37
10464,53
10466,62
10467,50
10468,112
10469,74
10470,89
10472,33
10473,59
10474,100
10476,0
10477,57
10482,0
10483,0
10484,160
10486,142
10487,160
10488,63
10489,128
10490,203
10493,167
10494,76
10496,181
10498,181
10499,216
10501,196
10503,130
10504,88
10507,87
10508,69
10509,83
10512,0
10514,97
10515,89
10517,58
10518,104
10519,42
10520,0
10523,132
10524,72
10525,80
10526,105
10527,135
10528,64
10529,74
10530,60
10532,287
10535,161
10536,89
10538,83
10539,76
10540,78
10541,86
10542,47
10543,111
10544,45
10546,32
10547,23
10549,9
10551,42
10552,55
10553,59
10554,31
10555,0
10564,89
10566,69
10567,141
10572,1
10573,53
10575,0
10576,74
10581,0
10582,0
10585,84
10586,86
10587,117
10590,99
10593,0
10594,82
10595,101
10596,124
10597,24
10598,51
10600,0
10601,140
10602,145
10604,69
10605,42
10606,72
10607,58
10608,60
10609,0
10610,42
10611,96
10612,288
10613,35
10614,64
10627,39
10628,30
10632,92
10635,84
10637,107
10642,25
10646,110
10649,222
10650,253
10654,60
10655,32
10658,0
10659,45
10660,34
10665,49
10666,37
10667,43
10668,58
10669,59
10670,80
10671,77
10675,712
10677,63
10680,23
10681,124
10683,20
10684,25
10685,40
10686,28
10693,95
10695,94
10696,0
10697,78
10698,93
10699,81
10700,25
10701,63
10702,0
10703,0
10704,44
10705,50
10706,100
10707,63
10708,62
10711,43
10713,58
10714,70
10716,34
10717,56
10718,56
10720,51
10721,49
10722,60
10724,168
10725,55
10726,55
10727,32
10728,30
10731,0
10734,153
10735,0
10736,10
10743,34
10744,94
10745,52
10750,27
10751,50
10753,50
10754,55
10756,51
10760,54
10761,51
10762,132
10763,118
10764,134
10765,52
10766,51
10767,53
10768,117
10769,34
10770,169
10771,126
10772,91
10773,115
10774,92
10775,56
10776,31
10780,29
10782,59
10783,46
10786,25
10787,0
10790,44
10791,38
