18-Feb-2015 14:32:27:197, INFO, JPPF client starting with sslEnabled = false
18-Feb-2015 14:32:27:202, INFO, start of runPopulationGenerator: parsing xml file
18-Feb-2015 14:32:27:247, INFO, connection [driver1] created
18-Feb-2015 14:32:27:519, INFO, running 1 processing thread
18-Feb-2015 14:32:27:520, INFO, Using default thread manager
18-Feb-2015 14:32:27:577, INFO, [client: driver1 - ClassServer] Attempting connection to the class server at localhost:11111
18-Feb-2015 14:32:28:611, INFO, creating the controls arrays.
18-Feb-2015 14:32:29:038, INFO, balancing household weights over initial PUMA controls ...
18-Feb-2015 14:32:29:039, INFO, getting incidence table data for pums ...
18-Feb-2015 14:32:29:227, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:29:443, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:29:621, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:29:788, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:29:940, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:30:334, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:30:612, INFO, combining final incidence tables.
18-Feb-2015 14:32:30:614, INFO, balancing incidence table 0 has 2404 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:30:615, INFO, balancing incidence table 1 has 2404 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:30:616, INFO, balancing incidence table 2 has 2404 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:30:618, INFO, balancing incidence table 3 has 2404 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:30:619, INFO, balancing incidence table 4 has 2404 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:30:621, INFO, balancing incidence table 5 has 2404 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:30:623, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:30:718, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:30:860, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:31:000, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:31:138, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:31:302, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:31:598, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:31:894, INFO, combining final incidence tables.
18-Feb-2015 14:32:31:895, INFO, balancing incidence table 0 has 1805 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:31:897, INFO, balancing incidence table 1 has 1805 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:31:899, INFO, balancing incidence table 2 has 1805 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:31:901, INFO, balancing incidence table 3 has 1805 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:31:902, INFO, balancing incidence table 4 has 1805 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:31:903, INFO, balancing incidence table 5 has 1805 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:31:905, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:32:001, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:32:142, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:32:274, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:32:410, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:32:585, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:32:841, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:33:125, INFO, combining final incidence tables.
18-Feb-2015 14:32:33:126, INFO, balancing incidence table 0 has 1606 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:33:128, INFO, balancing incidence table 1 has 1606 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:33:130, INFO, balancing incidence table 2 has 1606 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:33:132, INFO, balancing incidence table 3 has 1606 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:33:134, INFO, balancing incidence table 4 has 1606 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
